Date,Product,Price,Quantity,Region,City,Country,Discount,Payment_Method,Customer_Age,Customer_Gender
2022-10-04,Keyboard,75709.0,25.0,East,Kolkata,USA,10.0,Debit Card,30.0,Female
2022-11-06,Tablet,55144.0,25.0,North,Kolkata,UK,5.0,Debit Card,29.0,Male
2022-04-11,Mouse,30707.0,22.0,West,Bangalore,USA,0.0,,33.0,Male
2022-06-07,Keyboard,45021.0,18.0,West,Lucknow,Germany,5.0,Net Banking,38.0,Other
2022-07-14,Mouse,95861.0,,South,Kolkata,Canada,10.0,Credit Card,59.0,Male
2022-12-16,Tablet,87433.0,43.0,South,Bangalore,USA,,,32.0,Other
2022-04-04,Headphones,84917.0,10.0,,Hyderabad,,5.0,UPI,34.0,Female
2022-09-14,Camera,14819.0,39.0,East,Hyderabad,France,5.0,,48.0,Other
2022-07-11,Camera,22590.0,19.0,East,Jaipur,Canada,5.0,Debit Card,29.0,Female
2022-01-07,Smartwatch,49803.0,19.0,South,,Germany,20.0,Credit Card,58.0,Other
2022-11-09,,51006.0,8.0,,Ahmedabad,Germany,5.0,Cash,45.0,Male
2022-03-04,Mouse,1562.0,33.0,East,Bangalore,India,15.0,Credit Card,45.0,Female
2022-02-22,Tablet,25356.0,42.0,North,Bangalore,Germany,20.0,UPI,37.0,Other
2022-08-19,Smartwatch,69490.0,46.0,North,Pune,Germany,20.0,Credit Card,28.0,Male
2022-11-15,Keyboard,34593.0,22.0,East,Kolkata,Canada,10.0,,28.0,Other
2022-09-25,Smartwatch,24466.0,13.0,East,,Canada,20.0,Cash,59.0,Other
2022-05-09,Mouse,52650.0,15.0,West,Hyderabad,Germany,10.0,UPI,66.0,Female
2022-05-07,Mouse,59351.0,39.0,West,Bangalore,,20.0,,23.0,Male
2022-06-09,Keyboard,14366.0,12.0,West,Hyderabad,India,20.0,Cash,,Female
2022-06-23,Mouse,26970.0,28.0,South,Ahmedabad,India,0.0,Credit Card,47.0,Female
2022-01-10,Phone,7335.0,40.0,,Lucknow,UK,15.0,Debit Card,63.0,Male
2022-06-29,Mouse,59223.0,2.0,North,Mumbai,UK,15.0,Cash,64.0,Other
2022-01-25,Headphones,77342.0,19.0,West,Chennai,India,0.0,Net Banking,28.0,Female
2022-12-19,Phone,89231.0,16.0,East,Pune,Germany,5.0,Debit Card,49.0,Other
2022-10-12,Monitor,,31.0,West,Ahmedabad,USA,0.0,Net Banking,66.0,Male
2022-11-19,Smartwatch,35997.0,20.0,South,Chennai,USA,0.0,Credit Card,28.0,Other
2022-06-14,Camera,16674.0,9.0,South,Chennai,USA,0.0,Credit Card,61.0,Male
2022-01-29,Smartwatch,8902.0,23.0,North,Pune,France,10.0,Debit Card,22.0,Male
2022-10-27,Laptop,39248.0,23.0,West,Mumbai,France,15.0,UPI,54.0,Other
2022-09-03,Mouse,81110.0,48.0,South,Pune,USA,5.0,Debit Card,27.0,Other
2022-09-24,Keyboard,97612.0,38.0,South,Hyderabad,USA,5.0,Cash,,Male
2022-11-27,Mouse,60710.0,24.0,East,Mumbai,USA,0.0,UPI,34.0,Male
2022-10-15,Tablet,66567.0,10.0,West,Bangalore,UK,10.0,UPI,57.0,Male
,Monitor,55070.0,40.0,North,Lucknow,Canada,20.0,Cash,,Other
2022-04-12,Phone,79415.0,35.0,North,Jaipur,Canada,10.0,UPI,18.0,Male
2022-12-14,Tablet,1046.0,14.0,West,Pune,Canada,,Net Banking,35.0,Male
2022-09-08,Mouse,41402.0,22.0,South,Delhi,India,10.0,Credit Card,57.0,Other
2022-02-25,Tablet,49656.0,12.0,East,Ahmedabad,UK,20.0,Net Banking,56.0,Female
,Phone,84673.0,27.0,South,Chennai,Canada,20.0,Debit Card,27.0,Male
2022-06-03,Keyboard,67543.0,44.0,North,Lucknow,,20.0,Credit Card,62.0,Male
2022-05-11,Printer,56783.0,20.0,West,Bangalore,UK,20.0,Cash,31.0,Other
2022-02-16,Monitor,78086.0,22.0,South,Delhi,France,,Credit Card,60.0,Other
2022-10-14,Mouse,63312.0,11.0,East,Kolkata,India,15.0,Net Banking,60.0,Female
2022-12-14,Phone,5694.0,3.0,West,,USA,20.0,Cash,37.0,Other
2022-10-21,Keyboard,51528.0,7.0,South,Delhi,USA,15.0,Credit Card,22.0,Other
2022-07-18,Monitor,79435.0,23.0,West,Ahmedabad,Germany,5.0,Net Banking,19.0,Other
2022-08-26,Printer,73706.0,47.0,West,Chennai,France,20.0,Debit Card,35.0,Other
2022-08-14,Headphones,37979.0,37.0,North,Lucknow,India,10.0,Cash,26.0,Other
2022-05-16,Laptop,17165.0,48.0,,Chennai,Germany,0.0,Cash,48.0,Male
2022-08-15,Keyboard,93468.0,21.0,West,Hyderabad,Canada,5.0,,36.0,Female
2022-02-22,Tablet,86172.0,10.0,North,,USA,20.0,Cash,35.0,Female
2022-02-15,Laptop,23860.0,10.0,North,Ahmedabad,Canada,5.0,UPI,52.0,Other
2022-04-15,Printer,463.0,28.0,East,Bangalore,Germany,15.0,Cash,25.0,Female
2022-01-27,Printer,93209.0,13.0,West,Pune,UK,0.0,Debit Card,21.0,Female
2022-11-06,Mouse,57816.0,48.0,East,Bangalore,UK,15.0,,30.0,Male
2022-09-30,Headphones,34912.0,9.0,East,Mumbai,Germany,0.0,Credit Card,65.0,
,Tablet,,3.0,South,Mumbai,USA,5.0,Debit Card,42.0,Male
2022-07-14,,68344.0,37.0,East,Chennai,Germany,20.0,Cash,60.0,Other
2022-02-24,Smartwatch,17658.0,42.0,South,Jaipur,France,0.0,Debit Card,23.0,Female
2022-10-29,Mouse,68569.0,42.0,South,Kolkata,Canada,10.0,Net Banking,33.0,Female
2022-04-14,Phone,15097.0,46.0,West,Jaipur,France,10.0,Cash,18.0,Female
2022-12-19,,71238.0,45.0,North,Kolkata,France,10.0,Cash,18.0,Female
2022-11-26,Laptop,39446.0,5.0,South,Hyderabad,Germany,20.0,,20.0,Other
2022-03-08,,26760.0,38.0,South,Mumbai,USA,15.0,Debit Card,39.0,Female
2022-04-02,,831.0,40.0,,Chennai,Canada,5.0,Debit Card,41.0,Other
2022-03-11,,14489.0,44.0,North,,USA,20.0,UPI,44.0,Male
2022-05-28,Tablet,99387.0,27.0,West,Bangalore,France,0.0,Debit Card,62.0,Male
2022-05-31,Laptop,58039.0,5.0,South,Delhi,UK,20.0,Credit Card,48.0,Other
2022-10-30,Monitor,90797.0,6.0,East,Bangalore,USA,20.0,UPI,,Female
2022-09-13,Tablet,88542.0,38.0,North,Pune,France,10.0,UPI,68.0,Other
2022-05-01,Camera,3658.0,22.0,North,Kolkata,India,10.0,Debit Card,35.0,Other
2022-08-22,Mouse,63321.0,19.0,North,Delhi,UK,10.0,Cash,59.0,Male
2022-05-24,Headphones,86062.0,26.0,South,Bangalore,UK,15.0,Net Banking,60.0,Other
2022-10-31,Laptop,66353.0,2.0,West,Lucknow,Canada,20.0,UPI,58.0,Female
2022-02-07,Camera,47465.0,3.0,West,Ahmedabad,India,0.0,Cash,24.0,Other
2022-11-06,Phone,71795.0,36.0,South,Mumbai,USA,5.0,Debit Card,54.0,Female
2022-02-13,Smartwatch,21851.0,32.0,North,Ahmedabad,India,10.0,Credit Card,57.0,Other
2022-09-30,Printer,45303.0,20.0,South,Pune,France,10.0,UPI,34.0,Female
2022-01-21,,26001.0,28.0,North,Pune,Canada,,Debit Card,42.0,Female
2022-06-03,Camera,53885.0,27.0,North,Jaipur,,20.0,Credit Card,68.0,Other
2022-08-17,Monitor,10043.0,21.0,North,Pune,USA,15.0,Credit Card,21.0,Female
,Tablet,67085.0,16.0,West,Delhi,UK,5.0,Cash,51.0,
2022-11-21,Phone,70509.0,19.0,West,Pune,Canada,0.0,Cash,32.0,Male
2022-09-16,Tablet,7108.0,18.0,North,Ahmedabad,Germany,10.0,Debit Card,33.0,Other
2022-02-23,Mouse,41674.0,17.0,North,Bangalore,France,0.0,UPI,53.0,Other
2022-03-08,Camera,61073.0,,East,Delhi,India,20.0,Cash,29.0,Female
2022-06-24,Printer,41236.0,20.0,East,Jaipur,USA,15.0,Credit Card,45.0,Female
2022-12-22,Smartwatch,35433.0,18.0,North,Mumbai,Canada,0.0,Credit Card,,Male
2022-12-26,Tablet,9973.0,24.0,East,Bangalore,Canada,0.0,Net Banking,52.0,Male
2022-08-21,Keyboard,50213.0,25.0,West,Mumbai,UK,10.0,Cash,35.0,Female
2022-09-06,Headphones,50113.0,17.0,East,Pune,India,20.0,UPI,50.0,Male
2022-01-02,Smartwatch,44364.0,22.0,North,Hyderabad,USA,5.0,Net Banking,41.0,Female
2022-09-13,Headphones,20139.0,19.0,North,,USA,5.0,Net Banking,31.0,Female
2022-10-09,Mouse,94603.0,,West,Delhi,India,5.0,Cash,46.0,Male
2022-07-07,Laptop,15923.0,11.0,North,Pune,Canada,20.0,Cash,22.0,Female
2022-05-08,Printer,98115.0,6.0,East,Lucknow,,5.0,Net Banking,56.0,Male
2022-12-20,Printer,89487.0,11.0,East,Jaipur,India,15.0,Credit Card,49.0,Female
2022-04-09,Smartwatch,78637.0,27.0,North,Chennai,France,10.0,Net Banking,18.0,Female
,Tablet,20927.0,10.0,South,Chennai,,5.0,Cash,37.0,Other
,Printer,84819.0,25.0,West,Pune,UK,15.0,UPI,68.0,Female
2022-02-06,Headphones,43746.0,45.0,West,Delhi,Germany,20.0,Debit Card,42.0,Other
2022-11-12,Printer,,41.0,East,Mumbai,UK,0.0,Cash,35.0,Other
,Camera,65464.0,8.0,East,Hyderabad,India,0.0,Cash,69.0,Female
2022-10-05,Mouse,95949.0,39.0,West,Kolkata,USA,,UPI,25.0,Female
2022-12-19,Laptop,6074.0,,West,Ahmedabad,USA,10.0,Net Banking,23.0,Male
2022-03-27,Laptop,42963.0,18.0,West,Hyderabad,USA,10.0,Debit Card,31.0,Other
2022-02-08,Phone,80252.0,28.0,,Kolkata,Canada,15.0,UPI,57.0,Male
2022-03-25,Tablet,9427.0,30.0,North,Kolkata,Canada,,Net Banking,19.0,Other
2022-06-30,Smartwatch,,4.0,West,Chennai,USA,5.0,Cash,37.0,Male
2022-08-08,Printer,90125.0,41.0,West,Delhi,France,,Debit Card,63.0,Female
2022-06-10,Tablet,54630.0,41.0,West,Mumbai,France,5.0,,51.0,Other
2022-11-28,Headphones,58854.0,9.0,,Ahmedabad,,5.0,Cash,20.0,Female
2022-01-26,Tablet,5706.0,9.0,East,Bangalore,India,10.0,Credit Card,24.0,Male
2022-07-19,Camera,99909.0,14.0,East,Jaipur,India,5.0,Net Banking,19.0,Male
2022-11-16,Camera,9290.0,16.0,North,Delhi,India,20.0,UPI,24.0,Male
,Headphones,90733.0,26.0,West,Hyderabad,Canada,0.0,Cash,59.0,Male
2022-05-21,Phone,71151.0,12.0,South,Chennai,UK,10.0,Net Banking,38.0,Female
2022-04-29,Keyboard,83187.0,7.0,East,Kolkata,France,5.0,Net Banking,22.0,Other
2022-01-25,Mouse,32455.0,22.0,South,Jaipur,Germany,0.0,Cash,23.0,Male
2022-12-21,Printer,61687.0,36.0,South,Kolkata,USA,0.0,,19.0,Female
2022-09-06,Camera,,39.0,South,Kolkata,France,5.0,UPI,52.0,Female
2022-08-14,Phone,12062.0,8.0,North,Hyderabad,India,15.0,Cash,53.0,Female
2022-10-10,Monitor,24142.0,12.0,North,Bangalore,Germany,0.0,Debit Card,57.0,Male
2022-08-17,Smartwatch,3875.0,5.0,West,Jaipur,Canada,15.0,UPI,28.0,
2022-05-24,Tablet,46518.0,13.0,North,Lucknow,Canada,15.0,Cash,68.0,Other
2022-09-26,Laptop,46132.0,,East,Pune,India,20.0,Debit Card,52.0,Male
2022-01-01,Phone,18257.0,14.0,East,Lucknow,UK,5.0,Cash,37.0,Male
2022-08-17,Camera,89144.0,13.0,West,Jaipur,,5.0,Debit Card,55.0,Other
2022-11-07,Monitor,71892.0,33.0,West,Hyderabad,USA,5.0,Net Banking,31.0,Other
2022-05-11,Camera,40156.0,43.0,South,Delhi,France,5.0,Cash,60.0,Other
2022-12-27,Smartwatch,75279.0,49.0,East,Delhi,USA,,Net Banking,35.0,Other
2022-06-04,Mouse,3192.0,24.0,North,Chennai,France,0.0,Debit Card,65.0,Other
2022-06-29,Camera,33883.0,,South,Bangalore,UK,5.0,Net Banking,35.0,Female
2022-10-16,Phone,74428.0,33.0,North,Kolkata,France,5.0,Debit Card,43.0,
2022-06-07,Camera,18543.0,21.0,South,Lucknow,Canada,0.0,Net Banking,,Female
2022-01-05,Laptop,45224.0,8.0,North,Delhi,India,20.0,Cash,20.0,Female
2022-03-10,Printer,43354.0,35.0,East,Jaipur,,0.0,Debit Card,45.0,Other
2022-04-18,Mouse,22921.0,10.0,West,Delhi,Canada,5.0,Net Banking,59.0,Female
2022-08-29,Tablet,75526.0,5.0,South,Lucknow,UK,5.0,Debit Card,68.0,Male
2022-02-05,Camera,44539.0,5.0,South,Pune,Canada,5.0,Net Banking,69.0,Female
2022-09-24,Smartwatch,80528.0,35.0,North,Mumbai,Germany,20.0,Debit Card,24.0,Female
2022-06-15,Headphones,74897.0,25.0,East,Hyderabad,France,15.0,Credit Card,64.0,Other
2022-10-15,Smartwatch,42698.0,18.0,South,Mumbai,Germany,0.0,Cash,25.0,Female
2022-03-29,Printer,77606.0,28.0,West,Jaipur,USA,5.0,Debit Card,38.0,Male
2022-03-23,Mouse,97306.0,48.0,North,,India,5.0,UPI,54.0,Female
2022-12-02,Tablet,22838.0,30.0,North,Lucknow,,20.0,UPI,63.0,Female
2022-02-20,Laptop,95965.0,34.0,North,Delhi,Germany,5.0,UPI,38.0,Male
2022-04-22,Camera,50872.0,49.0,South,Hyderabad,UK,15.0,UPI,47.0,Male
2022-10-20,Smartwatch,5022.0,11.0,East,Mumbai,India,5.0,Net Banking,41.0,Male
2022-01-23,Tablet,79543.0,30.0,South,Lucknow,UK,0.0,Credit Card,33.0,Female
2022-11-19,Printer,4125.0,40.0,North,Ahmedabad,Germany,15.0,Net Banking,25.0,Other
2022-12-19,Laptop,93354.0,15.0,East,Chennai,USA,,Net Banking,42.0,Female
2022-04-29,Monitor,91504.0,28.0,North,Pune,Canada,,Net Banking,27.0,Male
2022-08-30,Mouse,28433.0,20.0,East,Chennai,Germany,,Cash,61.0,Male
2022-06-01,Printer,87071.0,45.0,East,Hyderabad,Canada,5.0,Cash,51.0,Male
2022-03-06,Headphones,27545.0,5.0,West,Kolkata,UK,5.0,Credit Card,35.0,Other
,Printer,35181.0,10.0,East,Kolkata,France,10.0,Cash,35.0,Other
2022-01-09,Camera,88068.0,48.0,North,Bangalore,Canada,15.0,Debit Card,19.0,Other
2022-04-14,,1001.0,37.0,North,Delhi,,15.0,Cash,64.0,Male
2022-10-31,Tablet,75986.0,5.0,North,Lucknow,USA,20.0,Credit Card,46.0,Other
2022-05-05,Laptop,98530.0,6.0,South,Ahmedabad,Canada,15.0,Credit Card,39.0,Male
2022-09-09,Monitor,29532.0,9.0,East,Kolkata,Germany,10.0,Net Banking,23.0,Other
2022-08-06,Tablet,84249.0,20.0,North,,USA,10.0,Credit Card,61.0,Female
2022-01-17,Smartwatch,41605.0,46.0,South,Jaipur,France,5.0,Net Banking,24.0,Other
2022-08-17,Smartwatch,,40.0,South,Delhi,France,15.0,Credit Card,53.0,Male
2022-07-17,Tablet,36443.0,29.0,South,Delhi,Canada,10.0,Debit Card,29.0,Female
2022-11-16,Printer,88683.0,33.0,North,Delhi,Germany,20.0,Cash,69.0,Other
2022-10-22,Printer,70932.0,,North,Mumbai,UK,10.0,UPI,44.0,
2022-03-01,Smartwatch,38985.0,14.0,East,Mumbai,India,20.0,Debit Card,32.0,Other
2022-09-07,Camera,57097.0,36.0,East,,France,5.0,UPI,39.0,Female
2022-07-11,Monitor,81008.0,15.0,West,Jaipur,USA,20.0,Credit Card,27.0,Other
2022-01-29,Laptop,22599.0,25.0,North,Jaipur,USA,,Cash,40.0,Other
2022-04-22,Mouse,35799.0,1.0,South,Jaipur,France,15.0,Debit Card,32.0,Female
2022-04-29,Smartwatch,39363.0,22.0,West,Jaipur,USA,5.0,Cash,62.0,Female
2022-03-14,Mouse,26223.0,28.0,South,Chennai,Germany,15.0,Cash,65.0,Female
2022-05-29,Printer,,36.0,East,Bangalore,USA,5.0,Cash,18.0,Female
2022-02-13,Laptop,86693.0,9.0,West,Delhi,France,10.0,Credit Card,24.0,Other
2022-04-17,Monitor,62614.0,14.0,East,Mumbai,,5.0,Net Banking,34.0,Female
2022-12-25,Phone,51001.0,,South,Kolkata,UK,10.0,Credit Card,48.0,Female
2022-06-13,Camera,,25.0,South,Delhi,France,20.0,UPI,48.0,Other
2022-11-02,Monitor,8746.0,43.0,North,Jaipur,Germany,5.0,Debit Card,31.0,Male
2022-05-30,Printer,,2.0,West,Delhi,Canada,5.0,Cash,54.0,Male
2022-04-17,Mouse,33857.0,20.0,North,Hyderabad,Germany,0.0,Credit Card,47.0,Female
2022-09-28,Headphones,4398.0,2.0,East,Chennai,Germany,0.0,UPI,49.0,Other
2022-11-12,Camera,,35.0,North,Lucknow,India,5.0,Cash,65.0,Other
2022-02-25,Laptop,58665.0,34.0,North,Pune,Germany,0.0,Debit Card,,Female
2022-12-11,Monitor,54897.0,5.0,North,Kolkata,Canada,15.0,UPI,20.0,Female
2022-02-05,Smartwatch,,8.0,South,Ahmedabad,Canada,20.0,Credit Card,28.0,Other
2022-10-19,Laptop,4056.0,21.0,East,Chennai,Germany,15.0,UPI,63.0,Male
2022-10-29,Mouse,12732.0,48.0,East,Bangalore,France,15.0,UPI,51.0,Female
2022-11-01,Monitor,98702.0,8.0,North,Pune,Canada,20.0,Net Banking,69.0,Female
2022-12-05,Monitor,57018.0,14.0,West,Lucknow,India,0.0,Net Banking,,Female
2022-12-30,Mouse,,45.0,East,Ahmedabad,France,10.0,Credit Card,57.0,Other
2022-05-24,Printer,6738.0,20.0,West,Chennai,Canada,15.0,Debit Card,,Female
2022-08-02,Smartwatch,33772.0,12.0,West,Jaipur,India,20.0,UPI,,
2022-03-04,Smartwatch,80080.0,15.0,South,,France,0.0,Debit Card,43.0,Female
2022-12-07,Laptop,3109.0,36.0,North,Bangalore,USA,20.0,UPI,22.0,Other
2022-02-23,Monitor,30109.0,5.0,West,Delhi,India,20.0,Cash,60.0,Female
2022-11-22,Headphones,51760.0,33.0,West,Delhi,India,0.0,UPI,22.0,Other
2022-03-04,Headphones,26038.0,35.0,East,,India,15.0,Net Banking,60.0,Male
2022-03-14,Smartwatch,59264.0,,North,Bangalore,France,20.0,UPI,22.0,Male
2022-11-09,Monitor,28469.0,13.0,West,Pune,Canada,15.0,Cash,57.0,Male
2022-03-08,,1024.0,48.0,North,Hyderabad,India,20.0,Credit Card,56.0,Other
2022-09-18,Phone,20811.0,34.0,East,Mumbai,UK,5.0,Debit Card,45.0,Male
2022-10-30,Smartwatch,21498.0,30.0,West,Kolkata,France,10.0,Net Banking,33.0,Male
2022-11-14,Phone,36647.0,21.0,West,Kolkata,Germany,,UPI,61.0,Other
2022-03-21,,19165.0,25.0,South,Jaipur,Canada,5.0,Debit Card,61.0,Male
2022-11-30,Phone,58244.0,2.0,East,Mumbai,USA,0.0,Cash,19.0,Other
2022-05-28,Camera,62632.0,6.0,West,Pune,France,20.0,Debit Card,63.0,Male
2022-03-03,Mouse,21018.0,20.0,West,Chennai,Canada,15.0,,67.0,Other
2022-11-21,Mouse,98099.0,36.0,East,Bangalore,Germany,0.0,Net Banking,69.0,Male
2022-06-15,Tablet,68646.0,5.0,North,Pune,France,15.0,Cash,24.0,Other
2022-09-20,Printer,21220.0,,North,Bangalore,Canada,20.0,UPI,34.0,Female
2022-04-10,Mouse,33641.0,34.0,West,,India,15.0,Credit Card,40.0,Female
2022-05-19,Tablet,86226.0,13.0,North,Lucknow,Germany,0.0,Cash,53.0,Female
2022-04-26,Monitor,99452.0,,South,Bangalore,UK,15.0,Net Banking,61.0,Female
2022-11-03,Keyboard,53318.0,22.0,,Ahmedabad,France,20.0,UPI,68.0,Female
,Printer,53692.0,42.0,South,Bangalore,France,10.0,Debit Card,27.0,Female
2022-03-09,Printer,27775.0,15.0,North,Pune,Canada,10.0,Credit Card,49.0,Other
2022-03-01,Monitor,89354.0,5.0,West,Hyderabad,India,5.0,Debit Card,20.0,Other
2022-05-17,Keyboard,83036.0,23.0,South,Lucknow,Germany,15.0,Credit Card,19.0,Male
2022-12-18,Smartwatch,92272.0,4.0,South,Delhi,India,0.0,Net Banking,45.0,Female
2022-06-25,Tablet,87345.0,31.0,North,Lucknow,USA,10.0,Credit Card,42.0,Other
2022-06-17,Smartwatch,79923.0,17.0,West,Pune,USA,20.0,Credit Card,19.0,Male
2022-04-28,Monitor,26727.0,10.0,East,Mumbai,India,5.0,Credit Card,21.0,Female
2022-10-15,Printer,51667.0,,West,Chennai,France,5.0,Cash,31.0,Female
2022-06-27,Printer,72703.0,49.0,West,Pune,USA,0.0,UPI,23.0,Female
2022-12-03,Camera,5297.0,,North,Bangalore,Germany,5.0,Debit Card,19.0,Female
2022-04-09,Laptop,,11.0,,Delhi,USA,10.0,Credit Card,49.0,Other
2022-09-01,Laptop,81541.0,8.0,South,Bangalore,France,10.0,Credit Card,30.0,Female
2022-05-31,Keyboard,24595.0,41.0,West,Pune,Canada,20.0,Net Banking,47.0,Other
2022-04-13,Tablet,23588.0,26.0,South,Pune,Germany,10.0,UPI,68.0,Male
2022-09-21,Laptop,27005.0,17.0,South,Lucknow,Canada,0.0,Credit Card,,Male
2022-08-16,Phone,83028.0,41.0,North,Kolkata,,0.0,Debit Card,65.0,Other
2022-06-27,Smartwatch,89092.0,47.0,West,Kolkata,Germany,0.0,Net Banking,69.0,Other
2022-01-10,Smartwatch,30673.0,5.0,South,Delhi,France,5.0,Debit Card,61.0,Male
2022-08-23,Mouse,76390.0,21.0,South,Jaipur,France,15.0,Debit Card,59.0,Male
2022-01-07,Mouse,58546.0,10.0,North,Kolkata,USA,5.0,Cash,28.0,
2022-12-30,Laptop,80258.0,3.0,,Kolkata,USA,15.0,Net Banking,20.0,Other
2022-05-13,Smartwatch,97920.0,42.0,East,Delhi,Canada,10.0,Debit Card,31.0,Female
2022-05-12,Monitor,47688.0,9.0,West,Mumbai,,5.0,Cash,61.0,Female
2022-10-16,Monitor,9560.0,17.0,East,Pune,France,0.0,UPI,63.0,
2022-12-26,Camera,12121.0,4.0,West,Delhi,Germany,5.0,,59.0,Other
2022-02-05,Smartwatch,79653.0,16.0,East,Ahmedabad,Germany,20.0,Net Banking,26.0,Other
2022-08-25,Monitor,58660.0,18.0,South,Chennai,France,5.0,Cash,33.0,Male
2022-04-04,Tablet,33173.0,4.0,West,Hyderabad,France,,Net Banking,39.0,Male
2022-05-10,Tablet,,15.0,South,Delhi,India,0.0,Debit Card,39.0,Male
2022-12-27,Phone,55490.0,11.0,West,Hyderabad,India,10.0,Credit Card,57.0,Male
2022-01-09,Headphones,72145.0,40.0,East,Jaipur,India,5.0,Net Banking,32.0,Female
2022-08-25,Camera,,17.0,East,Jaipur,USA,20.0,Credit Card,64.0,Other
2022-06-28,Printer,15996.0,46.0,East,Chennai,UK,0.0,Credit Card,32.0,Male
2022-06-03,Headphones,,8.0,West,Chennai,Germany,15.0,Credit Card,40.0,Male
2022-01-11,Smartwatch,34259.0,20.0,East,Bangalore,USA,0.0,Debit Card,59.0,Other
2022-05-13,Camera,88746.0,12.0,South,Bangalore,Germany,5.0,Cash,42.0,Other
2022-10-28,Smartwatch,78772.0,35.0,North,Lucknow,USA,0.0,Credit Card,33.0,Female
2022-03-20,Phone,70556.0,34.0,,Hyderabad,UK,5.0,Net Banking,45.0,Other
2022-04-26,Monitor,72420.0,1.0,East,Pune,UK,5.0,Net Banking,38.0,Female
2022-08-14,Printer,2995.0,5.0,North,Kolkata,UK,20.0,Debit Card,51.0,Male
2022-07-21,Camera,54810.0,17.0,North,Pune,UK,10.0,Credit Card,33.0,Male
2022-11-13,Mouse,39653.0,46.0,East,Delhi,India,20.0,Debit Card,43.0,Female
2022-10-20,Phone,68254.0,22.0,West,Jaipur,Canada,15.0,Credit Card,42.0,Male
2022-04-26,Tablet,52103.0,16.0,East,,Germany,15.0,Debit Card,34.0,Female
2022-07-01,Laptop,23383.0,,West,Bangalore,India,15.0,UPI,45.0,Female
2022-12-15,Phone,,30.0,East,Ahmedabad,France,0.0,Debit Card,,
2022-11-30,Monitor,10863.0,49.0,South,Lucknow,UK,20.0,Net Banking,43.0,Male
2022-12-04,Mouse,27626.0,49.0,North,,UK,10.0,Debit Card,38.0,Female
2022-01-10,Monitor,62659.0,25.0,South,Bangalore,Canada,15.0,UPI,60.0,Male
2022-06-29,Laptop,26447.0,2.0,South,Chennai,UK,15.0,,38.0,Female
2022-10-26,Phone,23962.0,29.0,East,Mumbai,USA,10.0,Net Banking,52.0,Other
2022-01-31,Printer,41898.0,15.0,East,Kolkata,UK,15.0,Credit Card,64.0,Other
2022-05-04,Headphones,33402.0,20.0,West,Lucknow,France,20.0,Credit Card,22.0,Female
2022-11-06,Monitor,85812.0,10.0,West,Lucknow,UK,0.0,Credit Card,66.0,Male
,Smartwatch,79469.0,20.0,South,Jaipur,USA,0.0,Net Banking,55.0,Male
2022-02-06,Headphones,9296.0,40.0,North,,USA,5.0,Credit Card,29.0,Male
2022-11-29,Tablet,39336.0,35.0,South,Hyderabad,UK,5.0,Debit Card,37.0,Male
2022-12-18,Laptop,18423.0,35.0,North,Mumbai,Germany,10.0,Cash,27.0,Other
2022-09-06,Phone,28733.0,42.0,North,Delhi,India,5.0,Debit Card,58.0,
2022-07-28,Monitor,19681.0,10.0,East,,France,0.0,Credit Card,19.0,Female
